"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"COLOR";"CREATED_BY";"DATASHEET";"DESCRIPTION";"DIELECTRIC";"DIGIKEY_PARTNO";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"LCSC";"MANUFACTURER";"MF";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGE-IN";"PART_STATUS";"POPULARITY";"POWER";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"SUB_CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VOLTAGE";"VOLTAGE_FORWARD";
"1";"DNP";"DMN3404L";"SOT23";"REFX4";"N-CHANNEL MOS FET";"";"";"";"";"N-CHANNEL MOSFET";"";"";"";"";"";"";"Diodes Incorporated";"DMN3404L-7";"";"SOT-23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DNP";"DNP-0603";"R0603";"REFX1";"";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DNP";"";"";
"1";"DNP";"DNP-0805";"R0805";"REFX2";"";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DNP";"";"";
"1";"DNP";"MSP432P401RIZXHR";"BGA80";"REFX3";"IC MCU 32BIT 256KB FLASH 80NFBGA";"";"";"PCBLayout.com";"";"";"";"296-45566-6-ND";"";"";"";"Texas Instruments";"";"MSP432P401RIZXHR";"";"80-NFBGA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"DNP";"PINROW-1X5";"1X01";"JP1, JP2, JP3, JP4, JP5, JP6";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";"";"";"";"DNP";"";"";
"8";"F/CM12P";"F/CM12P";"CM12P/5.0P";"LS1, LS2, LS3, LS4, LS5, LS6, LS7, LS8";"BUZZER";"";"";"";"";"Piezo Buzzer";"";"";"";"";"C219727";"";"ZLFY";"ZL-YDW1207-4005PA-5.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED_BLUE";"CHIP-FLAT-B_0603-0.55MM";"LEDC1608X55N_FLAT";"D11";"";"LED";"BLUE";"";"";"CHIP LED FLAT";"";"";"";"";"C72043";"Everlight Elec";"";"19-217/GHC-YR1S2/3T";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"";"FLAT_TOP";"LED_BLUE";"";"";
"1";"LED_EMERALD";"CHIP-FLAT-G_0603-0.55MM";"LEDC1608X55N_FLAT";"D14";"";"LED";"EMERALD";"";"";"CHIP LED FLAT";"";"";"";"";"C72041";"Everlight Elec";"";"19-217/BHC-ZL1M2RY/3T";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"";"FLAT_TOP";"LED_EMERALD";"";"";
"8";"LED_YELLOW";"CHIP-FLAT-Y_0603-0.55MM";"LEDC1608X55N_FLAT";"D3, D4, D5, D6, D7, D8, D9, D10";"";"LED";"YELLOW";"";"";"CHIP LED FLAT";"";"";"";"";"C72038";"Everlight Elec";"";"19-213/Y2C-CQ2R2L/3T(CY)";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"";"FLAT_TOP";"LED_YELLOW";"";"";
"5";"PTR1B1,27";"PTR1B1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"TS-1187A-B-A-B";"TS-1187A-B-A-B";"TACTILE_SWITCH_SMD_5.2MM";"S1, S2, S3, S4, S5, S6, S7, S8, S9";"";"";"";"";"";"Tactile Button SMD";"";"";"";"";"C318884";"";"XKB Connectivity";"TS-1187A-B-A-B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"WS2812B";"WS2812B";"WS2812B";"D2";"Intelligent control LED integrated light source";"LED";"RGB";"";"";"WS2812 RGB LED";"";"";"";"";"C2761795";"Worldsemi";"";"WS2812B-B/W";"-25 ℃ to +80℃(TJ)";"";"";"Active";"";"";"";"";"";"RGB";"";"";"";"";"";"";"";
