JP2,DNP,1X01,7.000,17.500,180.0,TOP,SMD
JP3,DNP,1X01,7.000,20.000,180.0,TOP,SMD
JP4,DNP,1X01,7.000,22.500,180.0,TOP,SMD
JP5,DNP,1X01,7.000,25.000,180.0,TOP,SMD
JP6,DNP,1X01,7.000,27.500,180.0,TOP,SMD
REFX3,DNP,BGA80,65.000,19.500,0.0,TOP,SMD
REFX1,DNP,R0603,70.250,16.000,180.0,TOP,SMD
REFX2,DNP,R0805,70.250,18.000,180.0,TOP,SMD
REFX4,DNP,SOT23,70.250,21.000,0.0,TOP,SMD
D11,LED_BLUE,LEDC1608X55N_FLAT,36.250,86.250,0.0,TOP,SMD
D14,LED_EMERALD,LEDC1608X55N_FLAT,42.000,95.750,90.0,TOP,SMD
D3,LED_YELLOW,LEDC1608X55N_FLAT,13.750,39.750,90.0,TOP,SMD
D4,LED_YELLOW,LEDC1608X55N_FLAT,19.500,39.750,90.0,TOP,SMD
D5,LED_YELLOW,LEDC1608X55N_FLAT,25.250,39.750,90.0,TOP,SMD
D6,LED_YELLOW,LEDC1608X55N_FLAT,31.000,39.750,90.0,TOP,SMD
D7,LED_YELLOW,LEDC1608X55N_FLAT,36.750,39.750,90.0,TOP,SMD
D8,LED_YELLOW,LEDC1608X55N_FLAT,42.500,39.750,90.0,TOP,SMD
D9,LED_YELLOW,LEDC1608X55N_FLAT,48.250,39.750,90.0,TOP,SMD
D10,LED_YELLOW,LEDC1608X55N_FLAT,54.000,39.750,90.0,TOP,SMD
TP1,PTR1B1,27,B1,27,29.500,16.250,90.0,TOP,SMD
TP2,PTR1B1,27,B1,27,32.500,16.250,90.0,TOP,SMD
TP3,PTR1B1,27,B1,27,24.375,22.375,0.0,TOP,SMD
TP4,PTR1B1,27,B1,27,23.750,25.250,0.0,TOP,SMD
TP5,PTR1B1,27,B1,27,25.250,27.750,0.0,TOP,SMD
S1,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,4.750,4.250,180.0,TOP,SMD
S2,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,16.250,4.250,180.0,TOP,SMD
S3,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,27.750,4.250,180.0,TOP,SMD
S4,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,39.250,4.250,180.0,TOP,SMD
S5,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,50.750,4.250,180.0,TOP,SMD
S6,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,62.250,4.250,180.0,TOP,SMD
S7,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,73.750,4.250,180.0,TOP,SMD
S8,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,85.250,4.250,180.0,TOP,SMD
S9,TS-1187A-B-A-B,TACTILE_SWITCH_SMD_5.2MM,57.000,19.500,180.0,TOP,SMD
D2,WS2812B,WS2812B,5.000,39.750,270.0,TOP,SMD
J3,CON2,H2-2.54,10.500,89.250,135.0,TOP,THT
DEBUG,DNP,490107670612_DEBUGGING,80.500,26.000,315.0,TOP,THT
LS1,F/CM12P,CM12P/5.0P,31.250,53.250,0.0,TOP,THT
LS2,F/CM12P,CM12P/5.0P,19.000,62.000,0.0,TOP,THT
LS3,F/CM12P,CM12P/5.0P,43.500,62.000,0.0,TOP,THT
LS4,F/CM12P,CM12P/5.0P,31.250,66.250,0.0,TOP,THT
LS5,F/CM12P,CM12P/5.0P,12.000,73.000,0.0,TOP,THT
LS6,F/CM12P,CM12P/5.0P,50.500,73.000,0.0,TOP,THT
LS7,F/CM12P,CM12P/5.0P,24.500,77.500,0.0,TOP,THT
LS8,F/CM12P,CM12P/5.0P,38.000,77.500,0.0,TOP,THT
U$100,,GITHUB-JRZ-10,10.250,1.250,0.0,BOT,SMD
U$101,,JLC_UID,5.250,1.000,0.0,BOT,SMD
